j,xj,F(xj),S(xj),|F(xj)-S(xj)|,dF(xj),dS(xj),|dF(xj)-dS(xj)|,ddF(xj),ddS(xj),|ddF(xj)-ddS(xj)|
1,0.0,1.0,0.9999999999999991,8.881784197001252e-16,0.0,-10.964888379332615,10.964888379332615,-99.33333333333333,0.2995322938583545,99.63286562719168
2,0.002095792297258034,0.9997818548848899,0.9770198713942997,0.02276198349059022,-0.20816669483762998,-10.964260621858367,10.756093927020737,-99.31137533864637,0.5990645875527019,99.91043992619907
3,0.004191584594516068,0.9991275159831252,0.9540423740871584,0.045085141895966796,-0.41624135762151,-10.96237734943631,10.546135991814799,-99.24551100020888,1.198129174915969,100.44364017512484
4,0.006287376891774102,0.9980372725830361,0.9310701393771306,0.06696713320590553,-0.6241319967253769,-10.959238562066549,10.335106565341173,-99.13576925065458,1.7971937624432432,100.93296301309782
5,0.008383169189032137,0.9965116066906409,0.9081057985627738,0.08840580812786702,-0.8317467013601849,-10.954844259748292,10.123097558388107,-98.98219829691963,2.396258350084942,101.37845664700458
6,0.01047896148629017,0.9945511928179117,0.8851519829426469,0.10939920987526486,-1.0389936819483296,-10.949194442481852,9.910200760533522,-98.78486559906938,2.9953229375380523,101.78018853660743
7,0.012574753783548205,0.9921568976864777,0.862211323815306,0.12994557387117178,-1.2457813104446362,-10.942289110267707,9.69650779982307,-98.54385784066842,3.59438752493734,102.13824536560577
8,0.01467054608080624,0.9893297798468946,0.8392864524793078,0.15004332736758685,-1.4520181605863973,-10.934128263105604,9.482110102519208,-98.25928089070764,4.1934521124879245,102.45273300319556
9,0.016766338378064273,0.9860710892136487,0.8163800002332098,0.16969108898043894,-1.6576130480547826,-10.924711900995161,9.267098852940379,-97.93125975710441,4.792516700016896,102.7237764571213
10,0.018862130675322306,0.982382266516099,0.7934945983755701,0.18888766814052882,-1.8624750705299882,-10.914040023936852,9.051564953406864,-97.55993853179675,5.391581287534847,102.9515198193316
11,0.02095792297258034,0.9782649426655987,0.7706328782049443,0.2076320644606544,-2.0665136476225183,-10.90211263193025,8.835598984307731,-97.14548032745533,5.990645875024399,103.13612620247973
12,0.023053715269838376,0.9737209380390747,0.7477974710198922,0.22592346701918242,-2.269638560663077,-10.888929724975899,8.619291164312822,-96.68806720584128,6.589710462421146,103.27777766826243
13,0.02514950756709641,0.9687522616793778,0.7249910081189672,0.24376125356041056,-2.4717599923335767,-10.874491303073643,8.402731310740066,-96.1879000978411,7.188775049988686,103.37667514782979
14,0.027245299864354443,0.9633611104127583,0.7022161208007298,0.2611449896120285,-2.672788566121876,-10.858797366222925,8.18600880010105,-95.6451987152139,7.787839637490951,103.43303835270484
15,0.02934109216161248,0.9575498678838504,0.6794754403637355,0.2780744275201149,-2.8726353855828966,-10.841847914424575,7.969212528841679,-95.06020145408985,8.386904224952968,103.44710567904282
16,0.03143688445887051,0.9513211035085936,0.6567715981065416,0.29454950540205194,-3.071212073388891,-10.82364294767793,7.75243087428904,-94.43316529026194,8.985968812550167,103.41913410281211
17,0.033532676756128546,0.9446775713455456,0.6341072253277062,0.3105703460178394,-3.268430810151707,-10.804182465983088,7.535751655831381,-93.76436566631719,9.585033400010467,103.34939906632766
18,0.03562846905338658,0.9376222088860899,0.6114849533257862,0.3261372555603037,-3.4642043729999856,-10.783466469340524,7.319262096340539,-93.05409637065699,10.184097987451304,103.2381943581083
19,0.03772426135064461,0.9301581357640614,0.5889074133993379,0.3412507223647234,-3.658446173894362,-10.761494957749845,7.103048783855483,-92.30266940845958,10.783162574963747,103.08583198342333
20,0.03982005364790265,0.9222886523853624,0.5663772368469197,0.35591141553844274,-3.851070297663841,-10.738267931211144,6.887197633547303,-91.51041486464128,11.382227162479156,102.89264202712043
21,0.04191584594516068,0.9140172384781694,0.5438970549670874,0.370120183511082,-4.041991539746625,-10.713785389724315,6.67179384997769,-90.67768075887683,11.981291750036094,102.65897250891292
22,0.044011638242418716,0.9053475515643652,0.5214694990583999,0.3838780525059653,-4.231125443618836,-10.68804733328929,6.456921889670454,-89.80483289274245,12.580356337483252,102.3851892302257
23,0.04610743053967675,0.8962834253528718,0.4990972004194134,0.39718622493345834,-4.418388337894688,-10.661053761906597,6.242665424011909,-88.89225468904866,13.179420924924518,102.07167561397317
24,0.04820322283693478,0.8868288680555866,0.47678279034868465,0.41004607770690193,-4.603697373081798,-10.632804675575734,6.029107302493936,-87.9403470234336,13.778485512523837,101.71883253595743
25,0.05029901513419282,0.8769880606266622,0.45452890014477176,0.42245916048189047,-4.786970557975519,-10.60330007429654,5.81632951632102,-86.94952804829066,14.377550100028204,101.32707814831886
26,0.052394807431450856,0.866765354925904,0.43233816110623213,0.4344271938196719,-4.968126795676298,-10.572539958069573,5.604413162393275,-85.92023300910786,14.97661468746269,100.89684769657055
27,0.054490599728708886,0.8561652718070919,0.4102132045316218,0.4459520672754701,-5.147085919214218,-10.540524326894568,5.39343840768035,-84.85291405329964,15.575679274960724,100.42859332826036
28,0.05658639202596692,0.8451924991320653,0.38815666171949903,0.45703583741256626,-5.323768726765122,-10.507253180771524,5.183484454006402,-83.74804003161493,16.17474386246509,99.92278389408003
29,0.05868218432322496,0.833851889711444,0.36617116396841987,0.4676807257430241,-5.498097016442807,-10.472726519700416,4.974629503257609,-82.6060962922088,16.773808450034768,99.37990474224357
30,0.06077797662048299,0.8221484591728895,0.3442593425769429,0.4778891165959466,-5.669993620652039,-10.436944343680995,4.766950723028956,-81.4275844674682,17.37287303753283,98.80045750500102
31,0.06287376891774102,0.8100873837578428,0.3224238288436251,0.48766355491421776,-5.83938243998728,-10.39990665271381,4.56052421272653,-80.21302225368525,17.97193762494862,98.18495987863388
32,0.06496956121499906,0.7976739980477076,0.30066725406702255,0.497006743980685,-6.006188476662252,-10.361613446798657,4.355424970136405,-78.96294318367504,18.571002212446622,97.53394539612165
33,0.06706535351225709,0.7849137926204744,0.27899224954569324,0.5059215430747812,-6.17033786745563,-10.322064725935395,4.151726858479765,-77.67789639243766,19.170066799976013,96.84796319241367
34,0.06916114580951513,0.771812411638819,0.25740144657819397,0.514410965060625,-6.331757916158445,-10.281260490124033,3.9495025739655887,-76.35844637596736,19.76913138750159,96.12757776346895
35,0.07125693810677317,0.758375650370732,0.23589747646308257,0.5224781739076494,-6.490377125508876,-10.239200739364579,3.748823613855703,-75.00517274331524,20.368195974978924,95.37336871829416
36,0.07335273040403119,0.7446094526437682,0.21448297049891596,0.5301264821448523,-6.6461252286004715,-10.195885473657228,3.5497602450567562,-73.61866996201336,20.96726056244687,94.58593052446022
37,0.07544852270128923,0.7305199082340365,0.19316055998425086,0.5373593482497856,-6.798933219749958,-10.151314693001822,3.3523814732518646,-72.19954709697333,21.566325149993144,93.76587224696648
38,0.07754431499854726,0.7161132501910731,0.17193287621764486,0.5441803739734282,-6.948733384811094,-10.105488397398192,3.156755012587098,-70.74842754297308,22.16538973751279,92.91381728048586
39,0.0796401072958053,0.7013958520997776,0.15080255049765567,0.5505933016021219,-7.09545933092127,-10.058406586846619,2.962947255925349,-69.26594875084976,22.76445432495022,92.03040307579998
40,0.08173589959306334,0.6863742252806109,0.12977221412283957,0.5566020111577713,-7.239046015667758,-10.010069261347166,2.771023245679408,-67.752761947519,23.3635189124585,91.11628085997751
41,0.08383169189032136,0.6710550159292864,0.10884449839175414,0.5622105175375323,-7.37942977566083,-9.960476420899473,2.5810466452386436,-66.20953184994342,23.96258350002095,90.17211534996437
42,0.0859274841875794,0.6554450021972101,0.08802203460295688,0.5674229675942533,-7.516548354501176,-9.909628065503673,2.393079711002497,-64.63693637317591,24.561648087472285,89.19858446064819
43,0.08802327648483743,0.6395510912139533,0.06730745405500482,0.5722436371589484,-7.650340930129347,-9.8575241951601,2.2071832650307526,-63.03566633260635,25.16071267492879,88.19637900753514
44,0.09011906878209547,0.6233803160530629,0.04670338804645435,0.5766769280066085,-7.7807481415452076,-9.804164809868396,2.023416668323189,-61.40642514054187,25.759777262500982,87.16620240304286
45,0.0922148610793535,0.6069398326425457,0.026212467875863843,0.5807273647666819,-7.907712114885665,-9.749549909628435,1.8418377947427702,-59.74992849725462,26.358841850007913,86.10877034726253
46,0.09431065337661154,0.5902369166213801,0.005837324841790226,0.5843995917795899,-8.031176488849209,-9.693679494440618,1.6625030055914092,-58.06690407663228,26.95790643745306,85.02481051408535
47,0.09640644567386956,0.5732789601434382,-0.014419409757209678,0.5876983699006478,-8.151086439456117,-9.636553564304801,1.4854671248486842,-56.358091206569426,27.556971024926515,83.91506223149594
48,0.0985022379711276,0.556073468630221,-0.0345551046225786,0.5906285732527996,-8.267388704133447,-9.57817211922101,1.3107834150875632,-54.62424054424048,28.156035612441407,82.78027615668188
49,0.10059803026838564,0.5386280574738344,-0.05456712845575984,0.5931951859295942,-8.38003160511419,-9.518535159189046,1.1385035540748554,-52.866113746396366,28.75510020003691,81.62121394643327
50,0.10269382256564367,0.5209504486916505,-0.07445284995819501,0.5954032986498455,-8.488965072140394,-9.45764268420877,0.968677612068376,-51.084483134829995,29.354164787534945,80.43864792236494
51,0.10478961486290171,0.5030484675341301,-0.09420963783132696,0.5972581053654571,-8.594140664460197,-9.395494694280728,0.8013540298205317,-49.280131357157664,29.953229374936026,79.23336073209369
52,0.10688540716015973,0.48493003904728743,-0.11383486077659949,0.5987648998238869,-8.69551159210919,-9.332091189404782,0.6365795972955919,-47.45385104306472,30.552293962443386,78.0061450055081
53,0.10898119945741777,0.4666031845913156,-0.1333258874954551,0.5999290720867707,-8.793032736466683,-9.267432169580625,0.47439943311394117,-45.606444456167324,31.151358549983694,76.75780300615102
54,0.11107699175467581,0.4480760183168972,-0.1526800866893363,0.6007561050062336,-8.886660670077907,-9.201517634808424,0.3148569647305166,-43.73872314164261,31.750423137469436,75.48914627911205
55,0.11317278405193384,0.42935674360074644,-0.17189482705968606,0.6012515706604324,-8.976353675733419,-9.134347585088241,0.15799390935482194,-41.85150756978208,32.34948772495857,74.20099529474065
56,0.11526857634919188,0.41045364944195406,-0.19096747730794728,0.6014211267499013,-9.06207176479733,-9.06592202042,0.003850255622669607,-39.94562677562519,32.948552312453636,72.89417908807883
57,0.11736436864644992,0.39137510682071064,-0.20989540613556257,0.6012705129562732,-9.143776694776317,-8.996240940803753,0.1475357539725639,-38.02191799483085,33.54761689996873,71.56953489479957
58,0.11946016094370794,0.3721295650210146,-0.22867598224397495,0.6008055472649896,-9.221431986121681,-8.925304346239365,0.2961276398823163,-36.08122629594721,34.14668148748202,70.22790778342923
59,0.12155595324096598,0.35272554791897404,-0.24730657433462672,0.6000321222536007,-9.295002938257095,-8.853112236726977,0.44189070153011833,-34.12440420924103,34.745746074949004,68.87015028419003
